# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
0	0	19972
1	0	20155
2	0	21536
3	0	23069
4	0	24813
5	0	26578
6	0	28454
7	0	30376
8	0	32487
9	0	34642
10	0	36834
11	0	39006
12	0	41193
13	0	43578
14	0	45752
15	0	47890
16	0	49737
17	0	51489
18	0	52963
19	0	54216
20	0	55120
21	0	55791
22	0	56123
23	0	56334
24	0	56456
25	0	56418
26	0	56332
27	0	56103
28	0	55893
29	0	55616
30	0	55392
31	0	55187
32	0	55093
33	0	55086
34	0	54913
35	0	54771
36	0	54715
37	0	54653
38	0	54694
39	0	54586
40	0	54551
41	0	54507
42	0	54483
43	0	54367
44	0	54379
45	0	54319
46	0	54306
47	0	54363
48	0	54357
49	0	54410
50	0	54390
51	0	54447
52	0	54365
53	0	54367
54	0	54437
55	0	54446
56	0	54494
57	0	54486
58	0	54415
59	0	54479
60	0	54392
61	0	54412
62	0	54357
63	0	54459
64	0	54412
65	0	54388
66	0	54455
67	0	54443
68	0	54449
69	0	54470
70	0	54456
71	0	54498
72	19	54553
73	25	54479
74	29	54425
75	49	54341
76	64	54331
77	83	54239
78	112	54289
79	150	54199
80	187	54200
81	228	54098
82	315	54086
83	424	54038
84	526	54149
85	685	54191
86	872	54267
87	1143	54229
88	1373	54229
89	1696	54257
90	1999	54374
91	2359	54331
92	2720	54351
93	3064	54392
94	3417	54461
95	3844	54461
96	4256	54441
97	4657	54397
98	5040	54410
99	5337	54375
100	5727	54428
101	6001	54447
102	6326	54415
103	6605	54493
104	6810	54556
105	7038	54425
106	7206	54446
107	7476	54468
